word,form,definition,korean,example,related,status
absolute,adj.,"1. complete; totally unlimited
2. certain","완전한, 무제한의, 절대적인, 독립한","Although the King of Siam was an absolute monarch, he did not want to behead his unfaithful wife without absolute evidence of her infidelity.",.,
absolve,v.,pardon (an offense),"[특히 법률] <남을> [벌.약속.의무 등으로부터] 면제하다, 면책하다, 해제하다",The father confessor absolved him of his sins.,n. absolution,
absorb,v.,"1. assimilate or incorporate;
2. suck or drink up;
3. wholly engage",흡수하다,"During the nineteenth century, America absorbed hordes of immigrants, turning them into productive citizens. Can Huggies diapers absorb more liquid than Pampers can? This question does not absorb me; instead, it bores me.",n. absorption,
abstain,v.,refrain; hold oneself back voluntarily from an action or practice,"(행위.쾌락을) 삼가다, 자제하다, 절제하다","After considering the effect of alcohol on his athletic performance, he decided to abstain from drinking while he trained for the race.",n. abstinence,
abstemious,adj.,sparing in eating and drinking; temperate,"절제하는, 금욕적인","Concerned whether her vegetarian son's abstemious diet provided him with sufficient protein, the worried mother pressed food on him.",.,
abstinence,n.,restraint from eating or drinking,"자제, 단식",The doctor recommended total abstinence from salted foods.,v. abstain,
abstract,adj.,"1. theoretical; not concrete
2. non-representational",추상적인,"To him, hunger was an abstract concept; he had never missed a meal.",.,
abstruse,adj.,obscure; profound; difficult to understand,"난해한, 파악하기 어려운","Baffled by the abstruse philosophical texts assigned in class, Dave asked Lexy to explain Kant's Critique of Pure Reason.",.,
abundant,adj.,plentiful; possessing riches or resources,"풍부한, 남아 돌아가는","At his immigration interview, Ivan listed his abundant reasons for coming to America: the hope of religious freedom, the prospect of employment, the promise of a more abundant life.",.,
abusive,adj.,coarsely insulting; physically harmful,"독설의, (특히 육체적으로 학대하는)",An abusive parent damages a child both mentally and physically.,.,
abysmal,n.,bottomless,"최저[최악]의, 심연의",His arrogance is exceeded only by his abysmal ignorance.,.,
abyss,n.,enormous chasm; vast bottomless pit,"심해, 심연, 나락",Darth Vader seized the evil emperor and hurled him down into the abyss.,.,
academic,adj.,"1. related to education
2. not practical or directly useful","교육의, 비실용적인","When Sharon applied for the faculty post, the dean asked about her academic qualifications. Seismologists' studies about earthquakes are not of purely academic interest, for these studies enable us to assess the danger of potential earthquakes.",.,
accede,v.,agree,"동의[찬성]하다, 응하다","If I accede to this demand for blackmail, I am afraid that I will be the victim of future demands.",.,
accelerate,v.,move faster,"가속하다, 촉진하다","In our science class, we learn how falling bodies accelerate.",.,
accentuate,v.,emphasize; stress,"강조[역설]하다, <색체.음성 등을> 강하게 하다, 두드러지게 하다","If you can accentuate the positive and eliminate the negative, you may wind up with an overoptimistic view of the world.",.,
accessible,adj.,easy to approach; obtainable,"접근[면회]하기 쉬운, 호감이 가는, 잉용하기 쉬운",We asked our guide whether the ruins were accessible on foot.,.,
accessory,n. adj.,additional object; useful but not essential thing,"부속물, 액세서리",She bought an attractive handbag as an accessory for her dress.,.,
acclaim,v. n.,applaud; announce with great approval,"환호하다, 격찬하다",The NBC sportscasters acclaimed every American victory in the Olympics and decried every American defeat.,.,
acclimate,v.,adjust to new climate or conditions,순응[순화]시키다,the goal of the freshman orientation program is to enable new students to acclimate to life on campus.,.,
accolade,n.,award of merit,"영예, 칭찬, 포상","In Hollywood, an ""Oscar"" is the highest accolade.",.,
accommodation,n.,provision of housing; settlement or compromise,"수용
적응, 순응, 조정, 조절","We used the cottage for the accommodation of visiting relatives. In 1949-1950, a chance existed for the Chinese Communist Party and the United States to reach an accommodation or, at least, to avoid a confrontation.",v. accommodate,
accomplice,n.,partner in crime,공범자,"Because he had provided the criminal with a lethal weapon, he was arrested as an accomplice in the murder.",.,
accord,n.,agreement,일치[조화]하다,She was in complete accord with the verdict.,.,
acerbity,n.,bitterness of speech and temper,"신[쓴, 떫은] 맛
(성질, 표현의) 과격, 매서움, 신랄함",The meeting of the United Nations General Assembly was marked with such acerbity that informed sources held out little hope of reaching any useful settlement of the problem.,adj. acerbic,
acknowledge,v.,recognize; admit,"(사실, ...의 존재 등) 을 인정하다","Although Iris acknowledged that the Beatles' tunes sounded pretty dated nowadays, she still preferred them to the hip-hog songs her brothers played.",.,
acme,n.,"top, pinnacle","절정, 정점, 극치",His success in this role marked the acme of his career as an actor,.,
acoustics,n.,science of sound; quality that makes a room easy or hard to hear in,"음향학, 음향 효과",Carnegie Hall is liked by music lovers because of its fine acoustics.,.,
acquiesce,v.,assent; agree without protesting,"순종하다, 묵인하다, 꺽이다, 소극적으로 동의하다","Although she appeared to acquiesce to her employer's suggestions, I could tell she had reservations about the changes he wanted made.","n. acquiescence
adj. acquiescent",
acquire,v.,obtain; get,"입수하다, 취득하다",Frederick Douglass was determined to acquire an education despite his master's efforts to prevent him doing so.,.,
acquittal,n.,deliverance from a charge,"방면, 석방, 무죄 판결",His acquittal by the jury surprised those who had thought him guilty.,v. acquit,
acrid,adj.,sharp; bitterly pungent,"코를 찌르는 듯한 냄새, 얼얼한",The acrid odor of burnt gunpowder filled the room after the pistol had been fired.,.,
acrimonious,adj.,bitter in words or manner,"(태도, 말투가) 톡 쏘는, 독살스런, 신랄한, 격론",The candidate attacked his opponent in highly acrimonious terms.,n. acrimony,
acuity,n.,sharpness,"날카로움, 예민함","In time his youthful acuity of vision failed him, and he needed glasses.",.,
acumen,n.,mental keenness,"총명함, 날카로운 관찰력, 통찰력",His business acumen helped him to succeed where others had failed.,.,
acute,adj.,"1. quickly perceptive
2. keen
3. brief and severe","예리한, 민감한, 급성의 ","The acute young doctor realized immediately that the gradual deterioration of her patient's once acute hearing was due to a chronic illness, not an acute one.",.,
adage,n.,wise saying; proverb,"속담, 격언",There is much truth in the old adage about fools and their money.,.,
adamant,adj.,hard; inflexible,"견고한, 매우 단단한, 요지부동의,","Bronson played the part of a revenge-driven man, adamant in his determination to punish the criminals who destroyed his family.",n. adamancy,
adapt,v.,alter; modify,"적응히다, 번안하다",Some species of animals have become extinct because they could not adapt to a changing environment.,.,
addiction,n.,"compulsive, habitual need","중독, 상용",His addiction to drugs caused his friends much grief.,.,
addle,v.,muddle; drive crazy; become rotten,"혼란시키다, (계란 등을) 썩히다 ",This idiotic plan is confusing enough to addle anyone.,adj. addled,
address,v.,direct a speech to; deal with or discuss,"강연, 성명, 말솜씨, 응대","Due to address the convention in July, Brown planned to address the issue of low-income housing in his speech.",.,
adept,adj. n.,expert at,숙련된,She was adept at the fine art of irritating people.,.,
adhere,adj.,stick fast,"들러붙다, 추종하다",I will adhere to this opinion until proof that I am wrong is presented.,n. adhesion,
adherent,n.,supporter; follower,"지지자, 추종자","In the wake of the scandal, the senator's one-time adherents quickly deserted him.",.,
adjacent,adj.,adjoining; neighboring; close by,"이웃한, 근접한","Philip's best friend Jason lived only four houses down the block, close but not immediately adjacent.",.,
adjunct,n.,something added on or attached (generally nonessential or inferior),"부속물, 부가물","Although I don't absolutely need a second computer, I plan to buy a laptop to serve as an adjunct to my desktop model.",.,
admonition,n.,warning,"충고, 경고, 간언, 훈계","After the student protesters repeatedly rejected the dean's admonitions, the administration issued an ultimatum: either the students would end the demonstration at once or the campus police would arrest the demonstrators.",v. admonish,
adopt,v.,"1. legally take a child as one's own
2. choose to follow
3. assume an attitude
4. formally accept (a suggestion or report)",입양; (사상.방법.의견 등을) 채용하다,"Tom and Joan adopted a daughter. I just adopted a new weight-loss plan. Don't adopt such a patronizing tone when you talk to me! Was the committee's report adopted unanimously, or did anyone abstain.",.,
adorn,v.,decorate,"꾸미다, 장식하다",Wall paintings and carved statues adorned the temple.,n. adornment,
adroit,adj.,skillful,"손재주가 있는, 능숙한",His adroit handling of the delicate situation pleased his employers.,.,
adulterate,v.,make impure by adding inferior or tainted substances,"품질을 떨어뜨리다, 섞다","It is a crime to adulterate foods without informing the buyer; when consumers learned that Beech-Nut had adulterated their apple juice by mixing it with water, they protested vigorously.",.,
advent,n.,arrival of someone or something notable.,"출현, 도래, 예수의 강림",The advent of driverless cars is bound to revolutionize the automotive industry.,.,
adversary,n.,opponent,"적, 상대",The young wrestler struggled to defeat is adversary.,.,
adverse,adj.,unfavorable; preventing success,"불리한; 반대하는, 적의를 품은",The recession had a highly adverse effect on Father's investment portfolio: he lost so much money that he had to sell our summer cottage.,n. adversity,
adversity,n.,unfavorable fortune; hardship; a calamitous event,"역경, 곤궁, 불운, 재난","According to the humorist Mark Twain, anyone can easily learn to endure adversity, as long as it is another man's.",.,
advocacy,n.,support; active pleading on something's behalf,"변호, 지지, 옹호",No threats could dissuade Bishop Desmond Tutu from his advocacy of the human rights of Black South Africans.,.,
advocate,v. n.,urge; plead for,"변호하다, 지지하다, 옹호하다",The abolitionists advocated freedom for the slaves.,.,
aesthetic,adj.,artistic; dealing with or capable of appreciation of the beautiful,"미학의, 감각적인",The beauty of Tiffany's stained glass appealed to Esther's aesthetic sense.,n. aesthete,
affable,adj.,easily approachable; warmly friendly,"붙임성 있는, 상냥한","Accustomed to cold, aloof supervisors, Nicholas was amazed at how affable his new employer was.",.,
affected,adj.,artificial; pretended; assumed in order to impress,"꾸민, 억지의; 감동한, 영향 받은","His affected mannerisms - his ""Harvard"" accent, air of boredom, use of obscure foreign words - annoyed us: he acted as if he thought he was too good for his old high school friends.",n. affectation,
affinity,n.,kinship,"인척 관계, 좋아함, 밀접한 관계, 친화성",She felt an affinity with all who suffered; their pains were her pains.,.,
affirmation,n.,positive assertion; confirmation; solemn pledge by one who refuses to take an oath.,"단언, 확언, 찬성; 증언","Despite Tom's affirmations of innocence, Aunt Polly still suspected he had eaten the pie.",.,
affliction,n.,state of distress; cause of suffering.,"고뇌, 고통, 불행","Even in the midst of her affliction, Elizabeth tried to keep up the spirits of those around her. ",.,
affluence,n.,abundance; wealth,"풍부함, 유복",Foreigners are amazed by the affluence and luxury of the American way of life.,.,
afford,v.,"1. have enough money to pay for
2. provide","지불할 여유가 있다; 가져오다, 주다 ","Although Phil is not sure he can afford a membership at the yoga studio, he wants to sign up because of the excellent training the studio affords.",.,
aftermath,n.,consequences; outcome; upshot,여파,People around the world wondered what the aftermath of China's violent suppression of the student protests would be.,.,
agenda,n.,items of business at a meeting,"의제, 예정안",We had so much difficulty agreeing upon an agenda that there was very little time for the meeting.,.,
agent,n.,means or instrument; personal representative; person acting in an official capacity,"매개물, 작용물; 대리인; (공공기관의) 직원","""I will be the agent of America's destruction,"" proclaimed the beady-eyed villian, whose agent had gottem him the role. With his face, he could never have played the part of the hero, a heroic F.B.I. agent.",.,
aggrandize,v.,increase or intensify,"증대, 확대, 강화",The history of the past quarter centruy illustrates how a President may aggrandize his power to act aggressively in international affairs without considering the wishes of Congress.,.,
aggregate,v.,gather; accumulate,"집한한, 결합한","Before the Wall Street scandals, dealers in so-called junk bonds managed to aggregate great wealth in short periods of time.",n. aggregation,
aggressor,n.,attacker,공격자,"Before you punish both boys for fighting, see whether you can determine which one was the aggressor.",.,
agility,n.,nimbleness,민첩,The agility of the acrobat amazed and thrilled the audience.,.,
agitate,v.,stir up; disturb,선동하다,Her fiery remarks agitated the already angry mob.,.,
agnostic,n. adj.,"one who is skeptical of the existnee or knowability of a god or any ultimate reality. ",불가지론자,Agnostics say we can neither prove nor disprove the existence of God; we simply just can't know.,.,
alacrity,n.,cheerful promptness,"민활, 기민","Eager to get away to the mountains, Phil and Dave packed up their ski gear and climbed into the van with alacrity.",.,
alias,n. adv.,an assumed name,가명,John Smith's alias was Bob Jones.,.,
alienate,v.,make hostile; seperate,이간하다; 소외시키다,Her attempts to alienate the two friends failed because they had to complete faith in each other.,.,
alimentary,adj.,supplying nourishment,영양의,"The alimentary canal in our bodies is so named because digestion of foods occurs there. When asked for the name of digestive tract, Sherlock Holmes replied, ""Alimentary, my dear Watson.""",.,
alimony,n.,payments made to an ex-spouse after divorce,"별거[이혼] 수당, 부양","Because Tony had supported Tina through medical school, on their divorce he asked the court to award him $500 a month in alimony.",.,
allay,v.,calm; pacify,"진정하다, 완화하다",The crew tried to allay the fears of the passengers by announcing that the fire had been controlled.,.,
allege,v.,state without proof,(확실한 증거 없이) 주장하다,"Although it is alleged that she has worked for the enemy, she denies the allegation and, legally, we can take no action against her without proof.",n. allegation,
allegiance,n.,loyalty,충성,"Not even a term in prison could shake Lech Walesa's allegiance to Solidarity, the Polish trade union he had helped to found.",.,
allegory,n.,story in which characters are used as symbols; fable,"비유, 우의화",Pilgrim's Progress is an allegory of the temptations and victories of man's soul.,adj. allegorical,
alleviate,v.,relieve,"경감하다, 완화하다","This should alleviate the pain; if it does not, we shall have to use stringer drugs.",.,
alliteration,n.,repetition of beginning sound in poetry.,두운,"""The furrow follwed free"" is an example of alliteration.",.,
allocate,v.,assign,"할당하다, (특정한 목적을 위하여) 떼어 놓다","Even though the Red Cross had allocated a large sum for the relief of the sufferers of the disaster, many people perished. ",.,
allude,v.,refer indirectly,"암시하다, 넌지시 말하다",Try not to mention divorce in Jack's presence because he will think you are alluding to his marital problems with Jill.,.,
allure,v. n.,entice; attract,"매혹하다, 사로잡다, 매력","Allured by the song of the sirens, the helmsman steered the ship toward the reef.",.,
allusion,n.,indirect reference,"암시, 간접적 언급","Amanda's retort to the ticket scalper - ""Five hundred bucks? What do you want, a pound of flesh?"" - was an allusion to the plot of Shakespeare's Merchant of Venice.",.,
aloft,adv.,upward,"위로, 공중에","The sailor climbed aloft into the rigging. To get into a loft bed, you have to climb aloft.",.,
aloof,adj.,apart; reserved,"떨어져, 멀어져서, 초연하게","Shy by nature, she remained aloof while all the rest conversed.",.,
altercation,n.,noisy quarrel; heated dispute,"언쟁, 격론","In that hot-tempered household, no meal ever came to a peaceful conclusion; the inevitable altercation might even end in blows.",.,
altruistic,adj.,unselfishly generous; concerned for others,이타적인,"In providing tutorial assistance and college scholarships for hundreds of economically disadvantaged youths, Eugene Lang performed a truly altruistic deed.",n. altruism,
amalgamate,v.,combine; unite in one body,"혼합[융합]하다, 합병하다",The unions will attempt to amalgamate their groups into one national body.,.,
amass,v.,collect,<재산.지식 등을> 축적하다,The miser's aim is to amass and hoard as much gold as possible.,.,
ambidextrous,adj.,capable of using either hand with equal ease.,양손잡이,A switch-hitter in baseball should be naturally ambidextrous,.,
ambience,n.,environment; atmosphere,"분위기, 환경",She went to the restaurant not for the food but for the ambience.,.,
ambiguous,adj.,unclear or doubtful in meaning,모호한,His ambiguous instructions misled us; we did not know which road to take.,n. ambiguity,
ambivalence,n.,the state of having contradictory or conflicting emotional attitudes,"모순, 정신의 불안정 상태","Torn between loving her parents one minute and hating them the next, she was upset by the ambivalence of her feelings.",adj. ambivalent,
ambulatory,adj.,able to walk; not bedridden,걸을 수 있는,"Juan was a highly ambulatory patient; not only did he refuse to be confined to bed, but he insisted on riding his skateboaard up and down the halls.",.,
ameliorate,v.,improve,"개선하다, 개량하다",Many social workers have attempted to ameliorate the conditions of people living in the slums.,.,
amenable,adj.,readily managed; willing to be led,"순종하는, 받을 수 있는","Although the ambassador was usually amenable to friendly suggestions, he balked when we hinted that he should waive his diplomatic immunity and pay his parking tickets.",.,
amend,v.,"correct; change, generally for the better","개정하다, 고치다 , 수정하다","Hoping to amend his condition, he left Vietnam for the United States.",.,
amiable,adj.,agreeable; lovable; warmly friendly,붙임성 있는,"In Little Woman, Beth is the amiable daughter whose loving disposition endears her to all who know her.",.,
amicable,adj.,politely friendly; not quarrelsome,우호적인,"Beth's sister Jo is the hot-tempered tomboy who has a hard time maintaining amicable relations with those around her. Jo's quarrel with her friend Laurie finally reaches an amicable settlement, but not because Jo turns amiable overnight.",.,
amity,n.,friendship,친목,Student exchange programs such as the Experiment in International Living were established to promote international amity.,.,
amnesia,n.,loss of memory,기억력 상실,"Because she was suggering from smnesia, the police could not get the young girl to identify herself.",.,
amnesty,n.,pardon,특사,"When his first child was born, the king granted amnesty to all in prison.",.,
amoral,adj.,nonmoral,부도덕한,The amoral individual lacks a code of ethics; he cannot tell right from wrong. The immoral person can tell right from wrong; he chooses to do something he knows is wrong.,.,
amorous,adj.,moved by sexual love; loving,"요염한, 호색적인, 사랑의","""Love them and leave them"" was the motto of the amorous Don Juan.",.,
amorphous,adj.,formless; lacking shape or definition,"무정형의, 조직이 없는","As soon as we have decided on our itinerary, we shall send you a copy; right now, our plans are still amorphous.",.,
amphibian,adj. n.,able to live both on land and in water,"수륙양용의, 양서",Frogs are classified as amphibian.,.,
ample,adj.,abundant,충분한,Bond had ample opportunity to escape. Why did he let us catch him?,.,
amplify,v.,increase in volumne or intensity; add details to clarify or broaden (a story or report),"...을 확대하다/증대하다, 더욱 상세히 하다","Lucy used a loudspeaker to amplify her voice, drowning out poor Charlie Brown's attempt to amplify his earlier remarks.",.,
amputate,v.,cut off part of body; prune,"절단하다, 잘라내다","Though the doctors had to amputate his leg to prevent the spread of cancer, the young athlete refused to let the loss of a limb keep him from participating in sports.",.,
anachronistic,adj.,having an error involving time in a story,시대착오적인,The reference to clocks in Julius Caesar is anachronistic: clocks did not exist in Caesar's time.,n. anachronism,
analogous,adj.,comparable,유사한,She called our attention to the things that had been done in an analogous situation and recommended that we do the same.,.,
analogy,n.,similarity; parallelism,"유사성, 유추; 일치, 공통점",A well-known analogy compares the body's immune system with an army whose defending troops are the lymphocytes or white blood cells.,.,
anarchist,n.,person who seeks to overturn the established government; advocate of abolishing authority,무정부주의자,"Denying she was an anarchist, Katya maintained she wished only to make changes in our government, not to destroy it entirely.",n. anarchy,
ancestry,n.,family descent,"가계, 선조, 계통","David can trace his ancestry as far back as the seventeenth century, when one of his ancestors was a court trumpeter somewhere in Germany.",adj. ancestral,
anchor,v.,secure or fasten firmly; be fixed in place,"고정시티는 것, 의지하는 것",We set the post in concrete to anchor it in place.,n. anchorage,
anecdote,n.,short account of an amusing or interesting event,일화,"At the wedding rehearsal dinner, the best man embarrassed the groom by telling anecdotes about their undergraduate escapades.",.,
anemia,n.,condition in which blood lacks red corpuscles,빈혈증,The doctor ascribes her tiredness to anemia.,adj. anemic,
anesthetic,n.,substance that removes sensation with or without loss of consciousness,"마취제
",His monotonous voice acted like an anesthetic; his audience was soon asleep.,n. anesthesia,
anguish,n.,acute pain; extreme suffering,"격통, 고통, 고뇌, 비통","Visiting the site of the explosion, the governor wept to see the anguish of the victims and their families.",.,
angular,adj.,sharp-cornered; stiff in manner,"모난, 모서리가 있는","Mr. Spock's features, though angular, were curiously attractive, in a Vulcan way.",.,
animated,adj.,"1. lively
2. made to appear to move as if alive","생기 있는, 활발한; 살아 있는 듯한","When John has a topic that truly interests him, he can be an animated and engaging conversationalist. Just listen to him on the subject of Japanese animated films.",.,
animosity,n.,active enmity,"악의, 적의, 원한, 증오심",He incurred the animosity of the ruling class because he advocated limitations of their power.,.,
annex,v.,attack; take possession of,병합하다,Mexico objected to the United States' attempts to annex the territory that later became the state of Texas.,.,
annihilate,v.,destroy,"멸망시키다, 섬멸하다",The enemy in its revenge tried to annihilate the entire population.,.,
annotate,v.,comment; make explanatory notes,주석을 달다,"In explanatory notes following each poem, the editor carefully annotated the poet's more esoteric references.",.,
annul,v.,make void,무효로 하다,The parents of the eloped couple tried to annul the marriage.,.,
anomalous,adj.,abnormal; irregular,"변칙적인, 비정상의, 특이한",He was placed in the anomalous position of seeming to approve procedures that he despised.,.,
anomaly,n.,irregularity,예외,A bird that cannot fly is an anomaly.,.,
anonymity,n.,state of being nameless; anonymousness,"익명, 무명",The donor of the gift asked college not to mention him by name; the dean readily agreed to respect his anonymity.,.,
anonymous,adj.,having no name,"익명의, 작자 불명의",She tried to ascertain the identity of the writer of the anonymous letter.,.,
antagonism,n.,hostility; active resistance.,"적의, 적대, 대립",Barry showed his antagonism toward his new stepmother by ignoring her whenever she tried talking to him.,adj. antagonistic,
antecede,v.,precede,앞서다,The invention of the radiotelegraph antecede the development of television by a quarter of a century.,.,
anthology,n.,book of literary selections by various authors,"시집, 문집",Mercedes Lackey just came out with her latest anthology of tales of Valdemar.,v. anthologize,
anthropoid,adj. n.,manlike,유인원,The gorilla is the strongest of the anthopoid animals.,.,
anthropologist,n.,a student of the history and science of mankind,인류학자,Anthropologists have discovered several relics of prehistoric man in this area.,.,
anticlimax,n.,letdown in thought or emotion,용두사미,"After the fine performance in the first act, the rest of the play was a anticlimax.",adj. anticlimatic,
antidote,n.,medicine to counteract a poison or disease,해독제,"When Marge's child accidentally swallowed some cleaning fluid, the local poison control hotline instructed Marge how to administer the antidote.",.,
antipathy,n.,aversion; dislike,"반감, 혐오, 질색","Tom's extreme antipathy for disputes keeps him from getting into arguments with his temperamental wife. Noise in any form is antipathetic to him. Among his other antipathies are honking cars, boom boxes, and heavy metal rock.",.,
antiquated,adj.,old-fashioned; obsolete,구식의,Philip had grown so accustomed to editing his papers on word processors that he thought typewriters were too antiquated for him to use.,.,
antiseptic,n. adj.,substance that prevents infection,"소독제, 소독된","It is advisable to apply an antiseptic to any wound, no matter how slight or insignificant.",.,
antithesis,n.,contrast; direct opposite of or to,대조법,Stagnation is the antithesis of growth.,.,
apathy,n.,lack of caring; indifference,"냉담, 무감정","A firm believer in democratic government, she could not understand the apathy of people who never bothered to vote.",adj. apathetic,
apocalyptic,adj.,prophetic; pertaining to revelations,묵시적인,The crowd jeered at the street preacher's apocalyptic predictions of doom. The Apocalypse or Book of Revelations of Saint John prophesies the end of the world as we know it and foretells marvels and prodigies that signal the coming doom.,.,
apocryphal,adj.,untrue; made up,"미심쩍은, 가짜의","To impress his friends, Tom invented apocryphal tales of his adventures in the big city.",.,
apolitical,adj.,having an aversion or lack of concern for political affairs,"정치에 관심없는
",It was hard to remain apolitical during recent presidential election campaign; even people who generally ignored party politics wound up taking partisan stands.,.,
appall,v.,dismay; shock,"오싹하게 하다, 놀라게 하다",We were appalled by the horrifying conditions in the city's jails.,.,
apparatus,n.,equipment,기구,Firefighters use specialized apparatus to fight fires.,.,
appease,v.,"1. pacify or sooth
2. relieve","달래다, 진정시키다","Tom and Jody tried to appease the crying baby by offering him one toy after antoher, but he would not calm down until they appeased his hunger by giving him a bottle.",.,
application,n.,"1. request
2. act of putting something to use
3. diligent attention
4. relevance",신청; 적용; 전념,"Jill submitted her scholarship application to the financial aid office. Martha's research project is purely academic; it has no practical application. Pleased with how well Tom had whitewashed the fence, Aunt Polly praised him for his application to the task. Unfortunately, John's experience in book publishing had litte or no application to the e-publishing industry.",.,
apposite,adj.,appropriate; fitting,적절한,"He was always able to find the apposite phrase, the correct expression for every occastion.",.,
appraise,v.,estimate value of,(품질.치수.중량 등을) (공적으로) 평가하다,It is difficult to appraise the value of old paintings; it is easier to call them priceless.,n. appraisal,
appreciate,v.,"1. be thankful for
2. increase in worth
3. be thoroughly conscious of",감사하다; 값이 오르다; 인식하다,"Little Orphan Annie truly appreciated the stocks Daddy Warbucks gave her, which appreciated in value considerably over the years. While I appreciate the skill and craftsmanship that went into Lucian Freud's paintings, I still dislike them.",.,
apprehension,n.,"1. fear of future evil
2. understanding
3. arrest",우려; 이해; 체포,"Despite the apprehension many people fell about black bears, these bears are generally more afraid of humans than humans are of them. Our apprehension of the present inevitably is based upon our understanding of the past. Inspector Javert's lifelong ambition was to bring about the apprehension and imprisonment of Jean Valjean.",.,
apprenticeship,n.,time spent as a novice learning a trade from a skilled worker,견습,"As a child, Pip had thought it would be wonderful to work as Joe's apprentice; now he hated his apprenticeship and scorned the blacksmith's trade.",.,
approbation,n.,approval,허가,"She looked for some sign of approbation from her parents, hoping her good grades would please them.",.,
appropriate,v.,acquire; take possession of one's own use,제것으로 삼다 (steal의 완곡적 표현),The ranch owners appropriated the lands that had originally been set aside for the Indians' use.,.,
apropos,prep. adv. adj.,with reference to; regarding,관하여; 적절히,I find your remarks apropos of the present situation timely and pertinent.,.,
aptitude,n.,fitness; talent,적성; 재능,The counselor gave him an aptitude test before advising him about the career he should follow.,.,
aquatic,adj.,pertaining to water,"물의, 수생의",Paul enjoyed aquatic sports such as scuba diving and snorkeling.,.,
arable,adj.,fir for growing crops,경작할 수 있는,"The first settlers wrote home glowing reports of the New World, raising its vast acres of arable land ready for the plow.",.,
arbiter,n.,a person with power to decide a dispute; judge,"중재자, 판정자","As an arbiter in labor disputes, she has won the confidence of the workers and the employers.",.,
arbitrary,adj.,capricious; randomly chosen; tyrannical,변덕스러운; 임의의; 독단적인,"Tom's arbitrary dismissal angered him; his boss had no reason to fire him. He threw an arbitrary assortment of clothes into his suitcase and headed off, not caring where he went.",.,
arbitrator,"b,",judge,중재인,"Because of the negotiating teans had been unable to reach a contract settlement, an outside arbitrator was called upon to mediate the dispute between union and management.",n. arbitration,
arcane,adj.,secret; mysterious; known only to the initiated,"신비한, 비밀의",Secret brotherhoods surround themselves with arcane rituals and trappings to mystify outsiders. So do doctors. Consider the arcane terminology they use and the impression they try to give that what is arcane to us is obvious to them.,.,
archaeology,n.,study of artfacts and relics of early mankind,고고학,The professor of archaeology headed an expedition to the Gobi Desert in search of ancient ruins.,.,
archaic,adj.,antiquated,고풍의,"""Methinks,"" ""thee,"" and ""thou"" are archaic words that are no longer part of our normal vocabulary.",.,
archetype,n.,prototype; primitive pattern,원형; 전형,The Brooklyn Bridge was the archetype of the many spans that now connect Manhattan with Long Island and New Jersey.,.,
archives,n.,public records; place where public records are kept,공기록; 기록 보관소,These documents should be part of the archives so that historians may be able to evaluate them in the future.,.,
