word,form,definition,korean,example,related,status
aggregate,v.,gather; accumulate,"집한한, 결합한","Before the Wall Street scandals, dealers in so-called junk bonds managed to aggregate great wealth in short periods of time.",n. aggregation,
aggressor,n.,attacker,공격자,"Before you punish both boys for fighting, see whether you can determine which one was the aggressor.",.,
agility,n.,nimbleness,민첩,The agility of the acrobat amazed and thrilled the audience.,.,
agitate,v.,stir up; disturb,선동하다,Her fiery remarks agitated the already angry mob.,.,
agnostic,n. adj.,"one who is skeptical of the existnee or knowability of a god or any ultimate reality. ",불가지론자,Agnostics say we can neither prove nor disprove the existence of God; we simply just can't know.,.,
alacrity,n.,cheerful promptness,"민활, 기민","Eager to get away to the mountains, Phil and Dave packed up their ski gear and climbed into the van with alacrity.",.,
alias,n. adv.,an assumed name,가명,John Smith's alias was Bob Jones.,.,
alienate,v.,make hostile; seperate,이간하다; 소외시키다,Her attempts to alienate the two friends failed because they had to complete faith in each other.,.,
alimentary,adj.,supplying nourishment,영양의,"The alimentary canal in our bodies is so named because digestion of foods occurs there. When asked for the name of digestive tract, Sherlock Holmes replied, ""Alimentary, my dear Watson.""",.,
alimony,n.,payments made to an ex-spouse after divorce,"별거[이혼] 수당, 부양","Because Tony had supported Tina through medical school, on their divorce he asked the court to award him $500 a month in alimony.",.,
allay,v.,calm; pacify,"진정하다, 완화하다",The crew tried to allay the fears of the passengers by announcing that the fire had been controlled.,.,
allege,v.,state without proof,(확실한 증거 없이) 주장하다,"Although it is alleged that she has worked for the enemy, she denies the allegation and, legally, we can take no action against her without proof.",n. allegation,
allegiance,n.,loyalty,충성,"Not even a term in prison could shake Lech Walesa's allegiance to Solidarity, the Polish trade union he had helped to found.",.,
allegory,n.,story in which characters are used as symbols; fable,"비유, 우의화",Pilgrim's Progress is an allegory of the temptations and victories of man's soul.,adj. allegorical,
