word,form,definition,korean,example,related,status
audacious,adj.,daring; bold,대담한,"Audiences cheered as Luke Skywalker and Princess Leia made their audacious, death-defying leap to freedom, escaping Darth Vader's troops.",n. audacity,A
audit,n. v.,examination of accounts,회계감사,"When the bank examiners arrived to hold their annual audit, they discovered the embezzlements of the chief cashier.",.,
auditory,adj.,pertaining to the sense of hearing,"귀의, 소리의",Audrey suffered from auditory hallucinations: she thought Elvis was speaking to her from the Great Beyond.,.,
augment,v.,increase; add to,"증강, 강화",Armies augment their forces by calling up reinforcements; teachers augment their salaries by taking odd jobs.,.,
august,adj.,impressive; majestic,위엄있는,"Visiting the palace at Versailles, she was impressed by the august surroundings in which she found herself.",.,A
auspicious,adj.,favoring success,"길조, 경사","With favorable weather conditions, it was an auspicious moment ot set sail. Thomas, however, had doubts about sailing: a paranoid, he became suspicious whenever conditions seemed auspicious.",.,
austere,adj.,"1. forbiddingly stern
2. severely simple and unornamented",남풍,"The headmaster's austere demeanor tended to scare off the more timid students, who never visited his study willingly. The room reflected the man, austere and bare, like a monk's cell, with no touches of luxury to moderate its austerity.",.,A
authenticate,v.,confirm as genuine,인증하다,"After a thorough chemical analysis of the pigments and canvas, the experts were prepared to authenticate the painting as an original Rembrandt.",.,
authoritarian,adj.,subordinating the individual to the state; completely dominating another's will,"권위주의, 독재주의의","The leaders of the authoritarian regime ordered the suppression of the democratic protest movement. After years of submitting to the will of her authoritarian father, Elizabeth Barrett ran away from home with the poet Robert Browning.",.,R
authoritative,adj.,having the weight of authority; peremptory and dictatorial,권위 있는,"Impressed by the young researcher's well-documented presentation, we accepted her analysis of the experiment as authoritative.",.,
autocratic,adj.,"having absolute, unchecked power; dictatorial",독재의,"Someone accustomed to exercising authority may become autocratic if his or her power is unchecked. Dictators by definition are autocrats. Bosses who dictate behavior as well as letters can be autocrats, too.",.,
automaton,n.,robot; person performing a task mechanically,자동 기계,"The assembly line job called for no initiative or intelligence on Homer's part; on automatic pilot, he pushed button after button like an automaton.",.,A
autonomous,adj.,self-governing,"자발적인, 자치권이 있는","Although the University of California at Berkeley is just one part of the state university system, in many ways Cal Berkeley is autonomous, for it runs several programs that are not subject to outside control.",n. autonomy,
auxiliary,adj. n.,"helper, additional or subsidiary",보조자,"To prepare for the emergency, they built and auxiliary power station.",.,
avalanche,n.,great mass of falling snow and ice.,눈사태,"The park ranger warned the skiers to stay on the main trails, where they would be in no danger of being buried beneath a sudden avalanche.",.,
